title,filename,size_bytes,caption
Harvard University,harvard%20university.webp,34.4 KB,Concentration in Government; focus on public policy and leadership.
Arizona State University,asu%20college.webp,54.7 KB,Intended major: Computer Science; Honors College option.
Columbia university,columbia%20university.webp,113 KB,Major interest: Economics and Data Analysis.
Dartmouth college,dartmouth.webp,111 KB,Exploring Environmental Studies with research opportunities in sustainability.
Princeton University,princeton%20university.webp,56.7 KB,Pursuing Mathematics with an emphasis on theoretical foundations.
Stanford University,stanford.webp,39.1 KB,Focus area: Biomedical Engineering and technological innovation.
Talladega college,talladega%20college.webp,78.3 KB,Major: Psychology; developing skills in social and behavioral research.
Yale university,yale%20university.webp,59.4 KB,Academic focus: History and global cultural studies.
New York University,new-york-university-buildings-on-washington-square-west.webp,75.6 KB,"Studying Film and Media within a creative, urban environment."
Grand Canyon University,Grand-Canyon-University.webp,55.8 KB,Major: Nursing; faith-based approach to compassionate care.
